timestamp,machine_id,batch_id,main_compression_force_kn,precompression_force_kn,ejection_force_kn,tablet_weight_mg,turret_speed_rpm,feeder_speed_rpm,vibration_rms_mm_s,bearing_temp_c,reject_flag,scenario_label,production_risk_score
2026-09-12T09:00:18+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.829,3.538,0.587,499.209,45.052,32.206,1.316,30.995,0,normal,6
2026-09-12T09:00:19+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.687,3.555,0.671,500.983,44.86,32.283,1.207,31.084,0,normal,6
2026-09-12T09:00:20+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.357,3.573,0.661,504.306,45.049,31.926,1.209,31.178,0,normal,6
2026-09-12T09:00:21+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.033,3.562,0.698,498.974,44.655,32.075,1.218,30.927,0,normal,6
2026-09-12T09:00:22+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.244,3.573,0.61,501.036,44.961,31.629,1.236,30.995,0,normal,6
2026-09-12T09:00:23+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.791,3.563,0.67,498.845,45.08,32.254,1.143,31.046,0,normal,6
2026-09-12T09:00:24+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.001,3.772,0.576,501.391,44.939,31.975,1.352,30.999,0,normal,6
2026-09-12T09:00:25+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.627,3.447,0.664,499.018,44.862,32.016,1.177,31.024,0,normal,6
2026-09-12T09:00:26+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.411,3.74,0.643,503.486,44.799,32.073,1.453,30.896,0,normal,6
2026-09-12T09:00:27+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.581,3.434,0.669,501.387,45.258,31.936,1.072,30.948,0,normal,6
2026-09-12T09:00:28+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.347,3.556,0.572,499.93,45.28,32.532,1.245,31.037,0,normal,6
2026-09-12T09:00:29+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.653,3.399,0.652,501.006,45.116,31.88,1.108,30.907,0,normal,6
2026-09-12T09:00:30+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.676,3.577,0.558,499.333,45.09,32.381,1.206,31.12,0,normal,6
2026-09-12T09:00:31+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.888,3.411,0.623,503.055,45.199,32.122,1.466,30.996,0,normal,6
2026-09-12T09:00:32+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.174,3.537,0.641,504.632,45.301,31.65,1.168,31.051,0,normal,6
2026-09-12T09:00:33+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.219,3.338,0.56,496.187,44.986,31.974,1.228,30.908,0,normal,6
2026-09-12T09:00:34+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.657,3.257,0.663,500.74,45.199,32.198,1.185,31.162,0,normal,6
2026-09-12T09:00:35+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.962,3.421,0.629,498.83,44.567,32.039,1.22,30.957,0,normal,6
2026-09-12T09:00:36+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.8,3.545,0.719,500.077,44.898,31.852,1.194,30.848,0,normal,6
2026-09-12T09:00:37+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.965,3.507,0.724,501.887,45.207,31.822,1.254,30.863,0,normal,6
2026-09-12T09:00:38+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.087,3.55,0.619,503.999,45.113,31.524,1.244,30.951,0,normal,6
2026-09-12T09:00:39+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.0,3.556,0.666,495.922,44.768,32.193,1.304,31.228,0,normal,6
2026-09-12T09:00:40+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.505,3.253,0.681,496.167,45.323,32.063,1.109,31.241,0,normal,6
2026-09-12T09:00:41+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.18,3.273,0.662,498.538,45.022,31.884,1.31,30.829,0,normal,6
2026-09-12T09:00:42+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.089,3.718,0.617,500.421,45.04,31.828,1.252,31.012,0,normal,6
2026-09-12T09:00:43+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.736,3.711,0.682,499.666,44.873,31.804,1.298,30.982,0,normal,6
2026-09-12T09:00:44+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.129,3.478,0.675,499.768,45.153,31.954,1.266,31.081,0,normal,6
2026-09-12T09:00:45+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.967,3.397,0.612,498.519,44.803,32.216,1.196,31.188,0,normal,6
2026-09-12T09:00:46+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.638,3.503,0.588,499.237,44.985,31.628,1.18,31.034,0,normal,6
2026-09-12T09:00:47+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.871,3.408,0.62,503.573,44.968,31.793,1.17,31.115,0,normal,6
2026-09-12T09:00:48+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.808,3.558,0.679,501.498,45.28,31.862,1.291,30.905,0,normal,6
2026-09-12T09:00:49+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.889,3.644,0.683,500.004,44.762,32.14,1.15,30.889,0,normal,6
2026-09-12T09:00:50+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.819,3.53,0.565,500.722,45.035,31.854,1.283,31.073,0,normal,6
2026-09-12T09:00:51+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.83,3.42,0.678,496.968,44.933,31.842,1.206,31.025,0,normal,6
2026-09-12T09:00:52+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.01,3.636,0.659,499.37,44.758,32.18,1.242,31.174,0,normal,6
2026-09-12T09:00:53+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.791,3.503,0.648,499.825,45.002,31.571,1.266,31.078,0,normal,6
2026-09-12T09:00:54+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.317,3.77,0.637,499.928,45.002,32.486,1.062,31.058,0,normal,6
2026-09-12T09:00:55+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.588,3.19,0.569,497.236,45.214,31.783,1.182,30.86,0,normal,6
2026-09-12T09:00:56+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.171,3.368,0.703,498.014,44.847,32.031,1.202,31.171,0,normal,6
2026-09-12T09:00:57+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.034,3.355,0.628,498.854,45.145,32.096,1.19,31.104,0,normal,6
2026-09-12T09:00:58+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.852,3.484,0.657,503.056,44.98,31.912,1.116,31.082,0,normal,6
2026-09-12T09:00:59+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.835,3.541,0.574,502.086,44.734,31.806,1.285,30.84,0,normal,6
2026-09-12T09:01:00+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.978,3.509,0.61,502.686,45.3,31.507,1.084,31.097,0,normal,6
2026-09-12T09:01:01+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.635,3.453,0.655,501.384,44.955,32.024,1.138,31.155,0,normal,6
2026-09-12T09:01:02+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.861,3.541,0.63,500.213,44.966,31.959,1.119,31.096,0,normal,6
2026-09-12T09:01:03+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.396,3.529,0.679,501.676,45.186,32.076,1.217,31.104,0,normal,6
2026-09-12T09:01:04+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.019,3.383,0.651,496.223,44.999,32.103,1.299,31.018,0,normal,6
2026-09-12T09:01:05+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.26,3.5,0.609,497.177,44.806,31.658,1.251,30.975,0,normal,6
2026-09-12T09:01:06+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.16,3.509,0.692,502.12,44.871,31.931,1.157,30.805,0,normal,6
2026-09-12T09:01:07+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.189,3.643,0.65,499.014,45.218,31.414,1.214,31.017,0,normal,6
2026-09-12T09:01:08+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.84,3.667,0.689,499.478,44.983,31.903,1.159,30.843,0,normal,6
2026-09-12T09:01:09+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.386,3.623,0.682,497.811,45.416,32.495,1.215,30.891,0,normal,6
2026-09-12T09:01:10+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.757,3.55,0.613,499.932,45.218,31.623,1.36,31.188,0,normal,6
2026-09-12T09:01:11+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.654,3.33,0.639,497.938,44.947,31.355,1.182,31.216,0,normal,6
2026-09-12T09:01:12+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.687,3.467,0.59,501.276,44.955,32.485,1.217,30.955,0,normal,6
2026-09-12T09:01:13+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.154,3.439,0.596,500.604,44.965,32.042,1.23,30.939,0,normal,6
2026-09-12T09:01:14+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.118,3.709,0.606,503.475,44.951,31.808,1.394,31.019,0,normal,6
2026-09-12T09:01:15+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.384,3.598,0.583,500.242,44.895,31.665,1.058,31.012,0,normal,6
2026-09-12T09:01:16+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.165,3.547,0.638,498.403,44.803,31.861,1.117,30.976,0,normal,6
2026-09-12T09:01:17+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.994,3.392,0.641,498.479,44.999,32.127,1.214,31.057,0,normal,6
2026-09-12T09:01:18+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.537,3.455,0.661,501.282,44.68,32.04,1.297,30.979,0,normal,6
2026-09-12T09:01:19+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.973,3.554,0.66,501.349,45.014,32.038,1.137,30.98,0,normal,6
2026-09-12T09:01:20+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.351,3.475,0.643,499.017,45.157,31.786,1.273,30.888,0,normal,6
2026-09-12T09:01:21+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.704,3.525,0.655,500.595,45.213,31.897,1.235,30.891,0,normal,6
2026-09-12T09:01:22+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.353,3.576,0.671,500.376,44.843,31.918,1.24,30.998,0,normal,6
2026-09-12T09:01:23+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.035,3.337,0.657,498.616,44.783,31.961,1.051,31.084,0,normal,6
2026-09-12T09:01:24+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.239,3.494,0.61,498.109,44.97,31.394,1.214,31.08,0,normal,6
2026-09-12T09:01:25+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.913,3.441,0.657,500.701,45.219,32.005,1.145,30.945,0,normal,6
2026-09-12T09:01:26+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.051,3.687,0.637,497.895,44.826,31.476,1.226,30.837,0,normal,6
2026-09-12T09:01:27+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.655,3.263,0.605,501.137,44.738,31.563,1.214,30.959,0,normal,6
2026-09-12T09:01:28+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.121,3.589,0.65,497.404,44.975,32.125,1.153,30.828,0,normal,6
2026-09-12T09:01:29+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.309,3.45,0.634,500.032,45.206,32.066,1.173,31.082,0,normal,6
2026-09-12T09:01:30+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.601,3.667,0.677,497.755,45.75,31.7,1.17,30.916,0,normal,6
2026-09-12T09:01:31+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.456,3.55,0.593,500.535,45.109,31.92,1.102,30.913,0,normal,6
2026-09-12T09:01:32+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.878,3.503,0.629,501.47,44.81,31.567,1.141,31.162,0,normal,6
2026-09-12T09:01:33+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.84,3.781,0.67,497.671,44.833,32.061,1.106,31.285,0,normal,6
2026-09-12T09:01:34+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.723,3.582,0.708,499.782,44.801,31.932,1.229,31.105,0,normal,6
2026-09-12T09:01:35+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.016,3.332,0.652,498.653,44.563,31.826,1.085,31.07,0,normal,6
2026-09-12T09:01:36+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.544,3.723,0.627,499.065,45.138,32.265,1.167,30.983,0,normal,6
2026-09-12T09:01:37+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.618,3.487,0.631,500.24,45.116,31.745,1.18,30.86,0,normal,6
2026-09-12T09:01:38+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.922,3.725,0.68,499.815,44.813,31.922,1.284,30.933,0,normal,6
2026-09-12T09:01:39+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.406,3.335,0.638,503.486,44.598,32.297,1.052,30.989,0,normal,6
2026-09-12T09:01:40+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.952,3.599,0.524,496.164,44.887,32.009,1.129,30.973,0,normal,6
2026-09-12T09:01:41+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.668,3.452,0.616,500.488,45.116,32.358,1.147,30.962,0,normal,6
2026-09-12T09:01:42+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.013,3.465,0.648,496.876,45.074,31.771,1.123,30.809,0,normal,6
2026-09-12T09:01:43+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.325,3.483,0.696,500.545,44.659,31.729,1.261,30.908,0,normal,6
2026-09-12T09:01:44+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.695,3.478,0.643,497.976,44.935,31.88,0.993,31.06,0,normal,6
2026-09-12T09:01:45+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.773,3.657,0.604,496.841,45.238,31.604,1.149,31.072,0,normal,6
2026-09-12T09:01:46+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.908,3.301,0.658,499.611,45.257,32.147,1.443,30.802,0,normal,6
2026-09-12T09:01:47+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.994,3.372,0.696,501.644,45.151,31.806,1.14,30.756,0,normal,6
2026-09-12T09:01:48+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.479,3.561,0.64,501.867,45.15,32.244,1.07,30.914,0,normal,6
2026-09-12T09:01:49+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.055,3.543,0.688,497.983,45.025,32.551,1.255,31.104,0,normal,6
2026-09-12T09:01:50+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.995,3.592,0.722,500.213,45.245,31.781,1.247,31.109,0,normal,6
2026-09-12T09:01:51+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.789,3.632,0.623,498.39,45.0,32.483,1.225,31.112,0,normal,6
2026-09-12T09:01:52+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.795,3.509,0.603,498.858,45.167,31.99,1.316,30.976,0,normal,6
2026-09-12T09:01:53+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.945,3.653,0.624,496.96,45.26,32.104,1.027,31.005,0,normal,6
2026-09-12T09:01:54+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.887,3.709,0.621,498.838,44.818,31.736,1.144,30.828,0,normal,6
2026-09-12T09:01:55+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.711,3.307,0.59,496.881,44.896,31.829,1.102,31.057,0,normal,6
2026-09-12T09:01:56+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.987,3.448,0.631,503.186,45.048,32.119,0.993,30.922,0,normal,6
2026-09-12T09:01:57+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.392,3.449,0.665,498.651,45.104,31.744,1.246,30.814,0,normal,6
2026-09-12T09:01:58+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.927,3.55,0.671,499.745,45.388,31.896,1.164,30.669,0,normal,6
2026-09-12T09:01:59+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.495,3.456,0.603,502.642,45.247,32.027,1.085,31.05,0,normal,6
2026-09-12T09:02:00+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.826,3.36,0.692,495.735,45.113,32.115,1.364,31.039,0,normal,6
2026-09-12T09:02:01+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.424,3.4,0.653,500.711,45.196,31.51,1.174,31.116,0,normal,6
2026-09-12T09:02:02+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.432,3.723,0.634,502.195,45.342,32.3,1.258,31.099,0,normal,6
2026-09-12T09:02:03+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.779,3.326,0.689,499.306,44.994,31.855,1.169,31.028,0,normal,6
2026-09-12T09:02:04+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.714,3.508,0.66,499.845,44.851,32.197,1.35,30.928,0,normal,6
2026-09-12T09:02:05+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.346,3.607,0.544,498.478,44.873,32.195,1.215,31.057,0,normal,6
2026-09-12T09:02:06+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.178,3.392,0.62,497.554,44.966,31.97,1.214,30.913,0,normal,6
2026-09-12T09:02:07+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.254,3.61,0.712,501.423,45.037,32.168,1.249,30.922,0,normal,6
2026-09-12T09:02:08+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.361,3.706,0.729,500.07,45.065,32.104,1.2,31.074,0,normal,6
2026-09-12T09:02:09+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.966,3.477,0.72,500.329,45.013,32.221,1.212,31.035,0,normal,6
2026-09-12T09:02:10+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.982,3.354,0.649,497.726,45.042,31.705,1.273,31.09,0,normal,6
2026-09-12T09:02:11+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.079,3.488,0.667,496.07,44.781,31.963,1.228,30.99,0,normal,6
2026-09-12T09:02:12+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.719,3.516,0.632,497.863,45.066,31.948,1.296,31.08,0,normal,6
2026-09-12T09:02:13+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.206,3.539,0.616,498.129,44.706,32.72,1.114,30.975,0,normal,6
2026-09-12T09:02:14+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.899,3.466,0.627,496.263,44.8,31.652,1.19,30.918,0,normal,6
2026-09-12T09:02:15+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.808,3.526,0.627,501.864,44.923,32.056,1.094,31.079,0,normal,6
2026-09-12T09:02:16+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.887,3.549,0.663,499.653,45.043,31.904,1.308,31.112,0,normal,6
2026-09-12T09:02:17+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.135,3.358,0.606,498.672,44.951,32.112,1.128,31.141,0,normal,6
2026-09-12T09:02:18+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.001,3.258,0.631,494.83,44.85,31.863,1.151,30.961,0,normal,6
2026-09-12T09:02:19+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.89,3.429,0.71,502.43,44.772,32.313,1.07,30.902,0,normal,6
2026-09-12T09:02:20+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.427,3.231,0.673,497.493,44.971,31.955,1.336,30.903,0,normal,6
2026-09-12T09:02:21+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.981,3.575,0.64,498.356,44.988,32.023,1.271,30.887,0,normal,6
2026-09-12T09:02:22+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.874,3.539,0.643,499.629,44.997,31.826,1.136,31.053,0,normal,6
2026-09-12T09:02:23+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.693,3.64,0.659,497.447,45.057,32.042,1.261,31.139,0,normal,6
2026-09-12T09:02:24+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.897,3.415,0.626,498.038,44.851,32.071,1.201,30.941,0,normal,6
2026-09-12T09:02:25+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.793,3.542,0.63,497.92,44.97,31.934,1.114,31.099,0,normal,6
2026-09-12T09:02:26+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.237,3.505,0.655,501.055,44.994,32.223,1.332,31.01,0,normal,6
2026-09-12T09:02:27+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.123,3.605,0.636,497.743,45.181,31.608,1.343,31.104,0,normal,6
2026-09-12T09:02:28+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.053,3.506,0.72,498.108,44.768,31.85,1.179,30.879,0,normal,6
2026-09-12T09:02:29+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.043,3.516,0.617,503.206,44.722,31.681,1.23,30.975,0,normal,6
2026-09-12T09:02:30+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.117,3.426,0.609,498.709,44.863,32.131,1.162,31.091,0,normal,6
2026-09-12T09:02:31+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.165,3.625,0.686,501.569,45.154,31.871,1.179,30.78,0,normal,6
2026-09-12T09:02:32+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.082,3.419,0.666,501.055,44.73,31.747,1.172,30.938,0,normal,6
2026-09-12T09:02:33+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.047,3.361,0.652,496.623,44.569,32.179,1.096,30.933,0,normal,6
2026-09-12T09:02:34+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.603,3.331,0.634,499.18,45.197,32.112,1.179,31.091,0,normal,6
2026-09-12T09:02:35+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.313,3.549,0.634,502.037,45.354,32.165,1.342,31.111,0,normal,6
2026-09-12T09:02:36+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.238,3.369,0.605,499.901,44.666,31.852,1.269,30.92,0,normal,6
2026-09-12T09:02:37+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.149,3.338,0.63,502.047,45.042,32.073,1.336,31.156,0,normal,6
2026-09-12T09:02:38+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.754,3.658,0.625,499.965,45.003,32.268,1.11,31.054,0,normal,6
2026-09-12T09:02:39+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.147,3.597,0.642,502.007,44.858,32.287,1.228,30.832,0,normal,6
2026-09-12T09:02:40+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.114,3.522,0.636,498.527,44.952,31.639,1.335,30.865,0,normal,6
2026-09-12T09:02:41+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.815,3.637,0.673,501.44,45.303,31.922,1.116,31.101,0,normal,6
2026-09-12T09:02:42+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.223,3.461,0.599,502.478,45.115,31.657,1.262,30.827,0,normal,6
2026-09-12T09:02:43+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,17.865,3.365,0.624,498.333,44.877,32.181,1.224,31.075,0,normal,6
2026-09-12T09:02:44+00:00,PRESS-RTP41-DEMO,BATCH-DEMO-001,18.306,3.455,0.653,501.076,45.341,32.225,1.311,31.122,0,normal,6
